X,Y,Yaw,Timestamp
0.0045927,0.75,-0.00108465,0.22
0.0056727,0.749998,-0.00108465,0.24
0.0074727,0.749996,-0.00108465,0.26
0.0099927,0.749994,-0.00108465,0.28
0.0132321,0.749937,-0.0220083,0.3
0.0171914,0.749866,-0.0162653,0.32
0.0218708,0.749789,-0.0162653,0.34
0.02727,0.749697,-0.0188838,0.36
0.0333889,0.749581,-0.0188838,0.38
0.0402277,0.749452,-0.0188838,0.4
0.0477874,0.749387,-0.00726266,0.42
0.0560671,0.749327,-0.00726266,0.44
0.0647029,0.749067,-0.0338859,0.46
0.0733379,0.748775,-0.0338859,0.48
0.0823262,0.748322,-0.0535738,0.5
0.0920284,0.747736,-0.0671734,0.52
0.102445,0.747035,-0.0671373,0.54
0.11358,0.746286,-0.0671373,0.56
0.125424,0.745365,-0.0791078,0.58
0.137965,0.744149,-0.0964589,0.6
0.151223,0.742867,-0.112184,0.62
0.16516,0.741181,-0.142257,0.64
0.179761,0.73902,-0.155598,0.66
0.195052,0.736612,-0.156959,0.68
0.211062,0.734136,-0.152405,0.7
0.227845,0.731996,-0.121109,0.72
0.244929,0.729443,-0.176565,0.74
0.261848,0.725957,-0.228047,0.76
0.27863,0.721842,-0.24353,0.78
0.295422,0.717765,-0.225145,0.8
0.312674,0.714088,-0.208015,0.82
0.330708,0.710653,-0.1668,0.84
0.349515,0.707434,-0.17102,0.86
0.369029,0.704083,-0.16976,0.88
0.389378,0.701442,-0.127313,0.9
0.410494,0.699164,-0.0733361,0.92
0.432401,0.69765,-0.0637934,0.94
0.455069,0.696966,-0.0143401,0.96
0.478467,0.69674,0.00385401,0.98
0.502578,0.697363,0.0315847,1
0.527397,0.698393,0.0356617,1.02
0.552951,0.698837,0.00217325,1.04
0.579231,0.69878,-0.0053355,1.06
0.606191,0.697349,-0.0541266,1.08
0.633873,0.695899,-0.0504024,1.1
0.662284,0.694643,-0.0841658,1.12
0.691282,0.691658,-0.128931,1.14
0.720855,0.687397,-0.149264,1.16
0.75093,0.681782,-0.183453,1.18
0.7818,0.676512,-0.142951,1.2
0.813489,0.671796,-0.161352,1.22
0.845652,0.665635,-0.248319,1.24
0.877729,0.657403,-0.262847,1.26
0.909916,0.649602,-0.222569,1.28
0.942073,0.641709,-0.269503,1.3
