X,Y,Yaw,Timestamp
1.0073,0.41226,-0.0604798,3.16
1.01592,0.41168,-0.0682611,3.18
1.02454,0.411043,-0.0739233,3.2
1.03316,0.410506,-0.05507,3.22
1.04179,0.410026,-0.0619725,3.24
1.05041,0.409478,-0.0731517,3.26
1.05903,0.408817,-0.0772864,3.28
1.06764,0.408198,-0.0685827,3.3
1.07626,0.407606,-0.0685827,3.32
1.08488,0.406923,-0.0874097,3.34
1.09349,0.406252,-0.0732804,3.36
1.10211,0.40562,-0.0732804,3.38
1.11072,0.404937,-0.0868182,3.4
1.11933,0.404254,-0.0757286,3.42
1.12795,0.4036,-0.0757286,3.44
1.13656,0.402914,-0.0841814,3.46
1.14517,0.402188,-0.0840852,3.48
1.15378,0.401431,-0.101511,3.5
1.16237,0.400561,-0.100345,3.52
1.17097,0.399724,-0.0792294,3.54
1.17958,0.39904,-0.0792294,3.56
1.1882,0.39838,-0.0193774,3.58
1.19684,0.398179,-0.0245679,3.6
1.20547,0.397967,-0.0245679,3.62
1.21411,0.397704,-0.031156,3.64
1.22275,0.397435,-0.031156,3.66
1.23138,0.397224,-0.0186687,3.68
1.24002,0.397062,-0.0186687,3.7
1.24866,0.396901,-0.0186687,3.72
1.25729,0.396587,-0.0366374,3.74
1.26592,0.396153,-0.054537,3.76
1.27455,0.395682,-0.054537,3.78
1.28317,0.395096,-0.071582,3.8
1.29178,0.394396,-0.0842076,3.82
1.30039,0.393669,-0.0842076,3.84
1.30902,0.393176,-0.0731052,3.86
1.31764,0.392589,-0.0512199,3.88
1.32626,0.392146,-0.0512199,3.9
1.33489,0.391674,-0.0715173,3.92
1.34351,0.391057,-0.0715173,3.94
1.35213,0.39044,-0.0715173,3.96
1.36076,0.39026,-0.0291897,3.98
1.3694,0.390061,-0.00651233,4
1.37804,0.390005,-0.00651233,4.02
1.38668,0.390005,0.000615763,4.04
1.39532,0.38995,-0.00449895,4.06
1.40396,0.389911,-0.00449895,4.08
1.4126,0.38979,-0.0438645,4.1
1.42123,0.38937,-0.0575944,4.12
